patient,tissue,CD3,CD8,CD4,CCR7,CD45RA,CD127,CD25,Helios,Foxp3,PD-1,CXCR5,CCR6,CXCR3,CCR4,CCR10,CD103,CD69,HLA-DR
390C,BM,400,718.0920775776518,1314.2845073330823,587.2513517560259,511.1260659542193,1000,500,400,500,400,200,300,1000,300,300,442.08846886121785,1160.8794560025915,600
390C,Ileum,400,1104.617684891443,1314.2845073330823,552.1299567935389,463.64277091046597,1000,500,400,500,400,400,400,600,300,300,442.08846886121785,1160.8794560025915,500
390C,Liver,400,765.2276520095393,1314.2845073330823,1009.1875762611869,577.4003127885245,1000,500,800,500,800,400,400,800,400,300,551.857091375719,1160.8794560025915,800
390C,Lung,400,849.3045695042869,1314.2845073330823,375.4608991102977,448.96941855935876,1000,500,400,400,400,200,300,700,400,300,521.3004845185122,1160.8794560025915,700
390C,mLN,400,826.5580800710093,1121.6168942362324,793.2510566062532,577.4003127885245,1000,500,400,500,400,400,300,700,250,300,471.432993982514,1160.8794560025915,500
390C,Spleen,400,718.9953986574321,1314.2845073330823,995.9696906223119,557.2059188224969,1000,500,400,500,400,400,300,700,400,300,551.857091375719,1160.8794560025915,700
390C,tLN,400,865.1864812910967,1371.6023977351522,596.2082360198722,517.1005533551828,1000,500,400,500,400,400,300,700,400,300,501.20149600833315,1160.8794560025915,600
403C,BM,400,1098.8773323561136,507.17446854520034,502.2503967741658,385.88658874418775,1000,300,400,500,400,200,300,400,300,300,524.642675200401,1101.4945695337324,600
403C,Liver,400,1098.8773323561136,544.6812084584508,336.7790820734566,394.65133249304085,1000,300,800,400,400,200,300,800,400,300,425.88884825908764,970.260676332231,700
403C,Lung,400,1098.8773323561136,544.6812084584508,385.08666638591814,290.88554658381315,1000,300,400,600,400,200,300,1000,400,400,462.3698947119845,1021.2905363906658,1000
403C,mLN,400,1111.777779734684,552.3089654087075,420.5930742547222,483.7254327924572,1000,500,400,500,400,400,300,700,300,300,401.89437441900026,1008.3578291942264,600
403C,Spleen,400,1012.188476833512,544.6812084584508,667.1674674523985,342.40173619929345,1000,500,400,500,400,300,300,700,400,300,512.0288909531171,771.8010101816033,600
403C,tLN,400,1098.8773323561136,567.697683406055,392.11674599548485,483.7254327924572,1000,500,400,500,400,400,300,700,400,300,389.9880402109448,1034.343512332897,600
412C,Blood,400,1120.0017749484693,362.91014172647016,356.5861059861354,535.6070251458881,1000,500,400,500,400,200,300,400,500,400,384.2407189456631,693.8108903420422,600
412C,BM,400,1120.0017749484693,466.3921247285297,356.5861059861354,501.22888412399874,1000,500,400,500,400,200,300,600,300,400,428.3896876070336,1199.703990230045,600
412C,Ileum,400,1120.0017749484693,413.39213399473226,365.20794282758175,422.6971115639418,1000,500,400,700,400,400,400,1000,300,700,428.3896876070336,1199.703990230045,700
412C,Liver,400,1120.0017749484693,448.52267975702057,365.20794282758175,582.2088582058437,1000,300,800,400,400,200,300,800,500,300,384.2407189456631,1218.2471030782178,700
412C,mLN,400,1120.0017749484693,303.916926707993,365.20794282758175,389.6766042932244,1000,500,400,500,400,400,300,700,300,400,400.0,916.8505797491022,600
412C,Spleen,400,1120.0017749484693,466.3921247285297,365.20794282758175,501.22888412399874,1000,500,400,500,400,400,300,700,400,300,384.2407189456631,901.8580483526636,600
412C,tLN,400,1120.0017749484693,413.39213399473226,356.5861059861354,524.0954310523492,1000,500,400,500,400,400,300,700,400,300,400.0,1831.2608564660597,600
423C,Blood,400,1003.9793235855391,421.1864323534118,467.73574239694227,457.74934092899787,1000,500,400,400,400,300,300,400,500,400,400.0,300.0,600
423C,BM,400,1031.4399078705126,620.5538055852014,467.73574239694227,616.92040503917,1000,500,600,500,400,200,300,600,400,400,400.0,700.0,700
423C,Ileum,400,1102.9378567485116,453.9128778357783,467.73574239694227,375.79283933658314,1000,500,400,700,400,400,500,700,500,600,900.0,1000.0,800
423C,Liver,400,1031.4399078705126,421.1864323534118,467.73574239694227,481.5948108751384,1000,300,800,700,800,400,300,800,500,600,600.0,1000.0,1500
423C,Lung,400,950.8768458233611,478.9280130060121,525.6307140183354,434.1048641948862,1000,500,400,600,800,400,400,1000,700,500,600.0,1000.0,1000
423C,mLN,400,990.4807291458062,373.29996695142177,451.68435968014353,481.5948108751384,1000,500,400,500,400,400,300,700,250,600,400.0,1500.0,800
423C,Spleen,400,1226.6346822915118,601.9903786990207,467.73574239694227,481.5948108751384,1000,500,400,500,400,400,300,700,400,400,400.0,1000.0,800
423C,tLN,400,977.1326914823484,437.463798090007,427.9767923481485,481.5948108751384,1000,500,400,500,400,400,300,700,400,400,400.0,1500.0,800
428C,Blood,400,1120.0017749484693,590.3869649072136,565.856365551318,391.391488673768,1000,500,200,400,400,200,300,800,500,400,400.0,868.046387805895,600
428C,BM,400,869.7788393375821,569.4763751700474,533.7629301627694,474.6536874379089,1000,500,250,500,400,200,300,600,400,400,400.0,705.8332886647601,400
428C,Ileum,400,939.499162937217,538.7239949441877,329.65820556992094,321.7072272344352,1000,500,200,200,400,300,300,800,500,600,700.0,423.24675080657187,500
428C,Lung,400,1120.0017749484693,440.88340134195704,284.96035045264597,403.1460752577075,1000,500,250,400,800,200,300,500,400,500,600.0,678.1289683310905,700
428C,Spleen,400,1120.0017749484693,469.5479239382384,533.7629301627694,414.9447049685958,1000,500,250,500,400,400,300,700,400,400,400.0,650.902050577885,700
428C,tLN,400,1120.0017749484693,469.5479239382384,512.8548330021504,391.391488673768,1000,500,250,500,400,400,300,700,400,300,400.0,1123.8416807823617,600
